rank,title,videoId,views,dailyViews,url
90,Mariah Carey - All I Want For Christmas Is You (Official Video),yXQViqx6GMY,815136830,12344,https://youtube.com/watch?v=yXQViqx6GMY
91,Culture Club - Karma Chameleon (Official Music Video),JmcA9LIIXWw,812689934,243489,https://youtube.com/watch?v=JmcA9LIIXWw
92,Guns N' Roses - Don't Cry,zRIbf6JqkNc,812621292,117351,https://youtube.com/watch?v=zRIbf6JqkNc
93,The Black Eyed Peas - I Gotta Feeling (Official Music Video),uSD4vsh1zDA,812617947,317070,https://youtube.com/watch?v=uSD4vsh1zDA
94,"Luis Miguel - ""Ahora te puedes marchar"" (Video Oficial)",yG7MPEQm1-w,812104823,359161,https://youtube.com/watch?v=yG7MPEQm1-w
95,Justin Bieber - One Time (Official Music Video),CHVhwcOg6y8,800793134,99269,https://youtube.com/watch?v=CHVhwcOg6y8
96,Extreme - More Than Words (Official Music Video),UrIiLvg58SY,793296375,196788,https://youtube.com/watch?v=UrIiLvg58SY
97,"Modern Talking - You're My Heart, You're My Soul (Official Video)",4kHl4FoK1Ys,789356149,235975,https://youtube.com/watch?v=4kHl4FoK1Ys
98,Taylor Swift - Love Story,8xg3vE8Ie_E,773278338,98631,https://youtube.com/watch?v=8xg3vE8Ie_E
99,Eminem - Stan (Long Version) ft. Dido,gOMhN-hfMtY,765784401,181495,https://youtube.com/watch?v=gOMhN-hfMtY
100,Keane - Somewhere Only We Know (Official Music Video),Oextk-If8HQ,762549165,574803,https://youtube.com/watch?v=Oextk-If8HQ
101,Timbaland - Apologize ft. OneRepublic,ZSM3w1v-A_Y,749377213,584431,https://youtube.com/watch?v=ZSM3w1v-A_Y
102,Bryan Adams - (Everything I Do) I Do It For You,Y0pdQU87dc8,744626934,956607,https://youtube.com/watch?v=Y0pdQU87dc8
103,Outkast - Hey Ya! (Official HD Video),PWgvGjAhvIw,741783255,124773,https://youtube.com/watch?v=PWgvGjAhvIw
104,Modern Talking - Cheri Cheri Lady (Official Video),eNvUS-6PTbs,737732194,520775,https://youtube.com/watch?v=eNvUS-6PTbs
105,Chris Brown - With You (Official HD Video),nmjdaBaZe8Y,736728264,214122,https://youtube.com/watch?v=nmjdaBaZe8Y
106,Rihanna - Take A Bow,J3UjJ4wKLkg,732632916,110092,https://youtube.com/watch?v=J3UjJ4wKLkg
107,Rihanna - Don't Stop The Music,yd8jh9QYfEs,731329035,99272,https://youtube.com/watch?v=yd8jh9QYfEs
108,Mary J. Blige - Family Affair (Official Music Video),znlFu_lemsU,721580678,615458,https://youtube.com/watch?v=znlFu_lemsU
109,Ke$ha - TiK ToK (Official HD Video),iP6XpLQM2Cs,713525831,165874,https://youtube.com/watch?v=iP6XpLQM2Cs
110,The White Stripes - Seven Nation Army (Official Music Video),0J2QdDbelmY,713249120,274518,https://youtube.com/watch?v=0J2QdDbelmY
111,"50 Cent - P.I.M.P. (Snoop Dogg Remix) ft. Snoop Dogg, G-Unit",UDApZhXTpH8,709065746,195050,https://youtube.com/watch?v=UDApZhXTpH8
112,"Timbaland - The Way I Are (Official Music Video) ft. Keri Hilson, D.O.E., Sebastian",U5rLz5AZBIA,703937069,344994,https://youtube.com/watch?v=U5rLz5AZBIA
113,Britney Spears - Toxic (Official HD Video),LOZuxwVk7TU,702740756,184919,https://youtube.com/watch?v=LOZuxwVk7TU
114,Mariah Carey - We Belong Together (Official Music Video),0habxsuXW4g,698371238,195542,https://youtube.com/watch?v=0habxsuXW4g
115,Aerosmith - Crazy (Official Music Video),NMNgbISmF4I,695986628,139187,https://youtube.com/watch?v=NMNgbISmF4I
116,Akon - Don't Matter (Official Music Video),JWA5hJl4Dv0,691803208,350810,https://youtube.com/watch?v=JWA5hJl4Dv0
117,Avril Lavigne - Girlfriend (Official Video),Bg59q4puhmg,678846542,87761,https://youtube.com/watch?v=Bg59q4puhmg
118,What I've Done (Official Music Video) [4K Upgrade] - Linkin Park,8sgycukafqQ,673268985,357303,https://youtube.com/watch?v=8sgycukafqQ
119,Spice Girls - Wannabe (Official Music Video),gJLIiF15wjQ,673021316,88925,https://youtube.com/watch?v=gJLIiF15wjQ
120,Al Final (Video Oficial) - Lilly Goodman,sesss3X4a1w,668614629,349763,https://youtube.com/watch?v=sesss3X4a1w
121,Bee Gees - How Deep Is Your Love (Official Video),XpqqjU7u5Yc,668284056,170079,https://youtube.com/watch?v=XpqqjU7u5Yc
122,Edward Maya & Vika Jigulina - Stereo Love (Official Music Video),p-Z3YrHJ1sU,663129532,215119,https://youtube.com/watch?v=p-Z3YrHJ1sU
123,Nelly Furtado - Promiscuous (Official Music Video) ft. Timbaland,0J3vgcE5i2o,662582680,381160,https://youtube.com/watch?v=0J3vgcE5i2o
124,Camila - Mientes (Video),xftFxCYQTdk,654480820,210236,https://youtube.com/watch?v=xftFxCYQTdk
125,Queen - Another One Bites the Dust (Official Video),rY0WxgSXdEE,653710429,88264,https://youtube.com/watch?v=rY0WxgSXdEE
126,The Duck Song,MtN1YnoL46Q,651088926,63874,https://youtube.com/watch?v=MtN1YnoL46Q
127,50 Cent - 21 Questions (Official Music Video) ft. Nate Dogg,cDMhlvbOFaM,650234460,250623,https://youtube.com/watch?v=cDMhlvbOFaM
128,Lil Wayne - Lollipop (Official Music Video) ft. Static,2IH8tNQAzSs,640432204,174425,https://youtube.com/watch?v=2IH8tNQAzSs
129,The Calling - Wherever You Will Go (First Video- in Tijuana),iAP9AF6DCu4,635720939,231770,https://youtube.com/watch?v=iAP9AF6DCu4
130,New Divide (Official Music Video) [4K Upgrade] - Linkin Park,ysSxxIqKNN0,635587451,139037,https://youtube.com/watch?v=ysSxxIqKNN0
131,Richard Marx - Right Here Waiting (Official Music Video),S_E2EHVxNAE,632601186,288172,https://youtube.com/watch?v=S_E2EHVxNAE
132,Queen - We Will Rock You (Official Video),-tJYN-eG1zk,630476876,87641,https://youtube.com/watch?v=-tJYN-eG1zk
133,Eros Ramazzotti - La Cosa Mas Bella (Più Bella Cosa) (Official Video),UojBaKX5Vz4,623191261,253267,https://youtube.com/watch?v=UojBaKX5Vz4
134,Guns N' Roses - Welcome To The Jungle,o1tj2zJ2Wvg,621707883,118918,https://youtube.com/watch?v=o1tj2zJ2Wvg
135,Beyoncé - If I Were A Boy,AWpsOqh8q0M,619934225,131367,https://youtube.com/watch?v=AWpsOqh8q0M
136,Nuki Nuki (The Nuki Song) Full Version - Gummibär the Gummy Bear,xd12hR68sWM,610400421,72313,https://youtube.com/watch?v=xd12hR68sWM
137,Aventura - El Perdedor,elGZbcpGzdU,608159474,256459,https://youtube.com/watch?v=elGZbcpGzdU
138,La Factoria - Perdoname ft. Eddy Lover,6nl5U0O5nOU,606839571,120666,https://youtube.com/watch?v=6nl5U0O5nOU
139,Café Tacvba - Eres (Video Oficial),98Akpf1ph2o,603399946,223263,https://youtube.com/watch?v=98Akpf1ph2o
140,Soulja Boy Tell'em - Crank That (Soulja Boy) (Official Music Video),8UFIYGkROII,602397562,141063,https://youtube.com/watch?v=8UFIYGkROII
141,"Beyoncé, Shakira - Beautiful Liar",QrOe2h9RtWI,600481955,121736,https://youtube.com/watch?v=QrOe2h9RtWI
142,Vanilla Ice - Ice Ice Baby (Official Music Video),rog8ou-ZepE,596193541,172475,https://youtube.com/watch?v=rog8ou-ZepE
143,Don Omar - Salio El Sol (Official Music Video),Z-3su2ov8Vg,595962723,256504,https://youtube.com/watch?v=Z-3su2ov8Vg
144,Nirvana - Come As You Are (Official Music Video),vabnZ9-ex7o,594234763,163907,https://youtube.com/watch?v=vabnZ9-ex7o
